date,path,orbit
2000-03-14,194,1268
2000-03-14,210,1269
2000-03-14,226,1270
2000-03-15,16,1286
2000-03-15,32,1287
2000-03-15,48,1288
2000-03-15,64,1289
2000-03-15,80,1290
2000-03-15,105,1277
2000-03-15,121,1278
2000-03-15,137,1279
2000-03-15,153,1280
2000-03-15,169,1281
2000-03-15,185,1282
2000-03-15,201,1283
2000-03-15,217,1284
2000-03-15,233,1285
2000-03-16,7,1300
2000-03-16,23,1301
2000-03-16,71,1304
2000-03-16,87,1305
2000-03-16,96,1291
2000-03-16,112,1292
2000-03-16,128,1293
2000-03-16,144,1294
2000-03-16,160,1295
2000-03-16,176,1296
2000-03-16,192,1297
2000-03-16,208,1298
2000-03-16,224,1299
2000-03-17,14,1315
2000-03-17,30,1316
2000-03-17,46,1317
2000-03-17,62,1318
2000-03-17,78,1319
2000-03-17,103,1306
2000-03-17,119,1307
2000-03-17,135,1308
2000-03-17,151,1309
2000-03-17,167,1310
2000-03-17,183,1311
2000-03-17,199,1312
2000-03-17,215,1313
2000-03-17,231,1314
2000-03-18,5,1329
2000-03-18,21,1330
2000-03-18,37,1331
2000-03-18,53,1332
2000-03-18,69,1333
2000-03-18,85,1334
2000-03-18,94,1320
2000-03-18,110,1321
2000-03-18,126,1322
2000-03-18,142,1323
2000-03-18,158,1324
2000-03-18,174,1325
2000-03-18,190,1326
2000-03-18,206,1327
2000-03-18,222,1328
2000-03-19,12,1344
2000-03-19,28,1345
2000-03-19,44,1346
2000-03-19,60,1347
2000-03-19,76,1348
2000-03-19,101,1335
2000-03-19,117,1336
2000-03-19,133,1337
2000-03-19,149,1338
2000-03-19,165,1339
2000-03-19,181,1340
2000-03-19,197,1341
2000-03-19,213,1342
2000-03-19,229,1343
2000-03-20,3,1358
2000-03-20,19,1359
2000-03-20,35,1360
2000-03-20,51,1361
2000-03-20,67,1362
2000-03-20,83,1363
2000-03-20,156,1353
2000-03-20,172,1354
2000-03-20,188,1355
2000-03-20,204,1356
2000-03-20,220,1357
2000-03-21,10,1373
2000-03-21,26,1374
2000-03-21,42,1375
2000-03-21,58,1376
