Latitude,Longitude,POC,State,County,City,Site.Code,n
21.949599,-159.36624,1,Hawaii,Kauai,Not in a city,15-007-0007,7058
25.471944,-80.482778,1,Florida,Miami-Dade,Homestead,12-086-6001,5691
25.794222,-80.215556,1,Florida,Miami-Dade,Miami,12-086-1016,5576
25.794222,-80.215556,2,Florida,Miami-Dade,Miami,12-086-1016,783
25.794222,-80.215556,3,Florida,Miami-Dade,Miami,12-086-1016,2282
25.892518,-97.49383,1,Texas,Cameron,Brownsville,48-061-0006,280
25.892518,-97.49383,2,Texas,Cameron,Brownsville,48-061-0006,2573
25.941944,-80.326389,1,Florida,Miami-Dade,Palm Springs North,12-086-0033,1668
26.001202,-80.160324,1,Florida,Broward,Hollywood,12-011-3002,1042
26.053889,-80.256944,1,Florida,Broward,Davie,12-011-0034,1514
26.053889,-80.256944,2,Florida,Broward,Davie,12-011-0034,213
26.053889,-80.256944,3,Florida,Broward,Davie,12-011-0034,3654
26.0711,-97.1577,1,Texas,Cameron,South Padre Island,48-061-2004,1201
26.0711,-97.1577,5,Texas,Cameron,South Padre Island,48-061-2004,521
26.083143,-80.237586,1,Florida,Broward,Davie,12-011-1002,4452
26.083143,-80.237586,2,Florida,Broward,Davie,12-011-1002,469
26.132677,-80.169817,3,Florida,Broward,Fort Lauderdale,12-011-0035,3648
26.135173,-97.630039,1,Texas,Cameron,San Benito,48-061-2002,650
26.217582,-80.127545,1,Florida,Broward,Pompano Beach,12-011-2004,3111
26.22621,-98.291069,1,Texas,Hidalgo,Mission,48-215-0043,1478
26.22621,-98.291069,2,Texas,Hidalgo,Mission,48-215-0043,2555
26.288622,-98.152066,1,Texas,Hidalgo,Edinburg,48-215-1046,631
26.291088,-80.096353,1,Florida,Broward,Pompano Beach Highlands,12-011-2003,829
26.291088,-80.096353,3,Florida,Broward,Pompano Beach Highlands,12-011-2003,1602
26.294167,-80.176389,1,Florida,Broward,Coconut Creek,12-011-5005,1540
26.294167,-80.176389,3,Florida,Broward,Coconut Creek,12-011-5005,1767
26.309858,-98.183101,1,Texas,Hidalgo,Edinburg,48-215-0042,643
26.454796,-80.096709,1,Florida,Palm Beach,Delray Beach,12-099-2003,487
