"Var1","Var2","value"
"aod_mix_08","aod_mix_07",0.99
"aod_mix_09","aod_mix_07",0.981
"aod_mix_10","aod_mix_07",0.956
"aod_mix_11","aod_mix_07",0.96
"aod_mix_12","aod_mix_07",0.959
"aod_mix_13","aod_mix_07",0.958
"aod_mix_14","aod_mix_07",0.957
"aod_mix_15","aod_mix_07",0.955
"aod_mix_16","aod_mix_07",0.952
"aod_mix_17","aod_mix_07",0.947
"aod_mix_18","aod_mix_07",0.938
"aod_mix_19","aod_mix_07",0.923
"aod_mix_20","aod_mix_07",0.9
"aod_mix_21","aod_mix_07",0.933
"aod_mix_22","aod_mix_07",0.931
"aod_mix_23","aod_mix_07",0.93
"aod_mix_24","aod_mix_07",0.926
"aod_mix_25","aod_mix_07",0.921
"aod_mix_26","aod_mix_07",0.913
"aod_mix_27","aod_mix_07",0.904
"aod_mix_28","aod_mix_07",0.892
"aod_mix_29","aod_mix_07",0.877
"aod_mix_30","aod_mix_07",0.861
"aod_mix_31","aod_mix_07",0.897
"aod_mix_32","aod_mix_07",0.896
"aod_mix_33","aod_mix_07",0.896
"aod_mix_34","aod_mix_07",0.895
"aod_mix_35","aod_mix_07",0.897
"aod_mix_36","aod_mix_07",0.898
"aod_mix_37","aod_mix_07",0.898
"aod_mix_38","aod_mix_07",0.895
"aod_mix_39","aod_mix_07",0.887
"aod_mix_40","aod_mix_07",0.873
"aod_mix_41","aod_mix_07",0.723
"aod_mix_42","aod_mix_07",0.714
"aod_mix_43","aod_mix_07",0.71
"aod_mix_44","aod_mix_07",0.715
"aod_mix_45","aod_mix_07",0.729
"aod_mix_46","aod_mix_07",0.751
"aod_mix_47","aod_mix_07",0.778
"aod_mix_48","aod_mix_07",0.804
"aod_mix_49","aod_mix_07",0.825
"aod_mix_50","aod_mix_07",0.834
"aod_mix_51","aod_mix_07",0.948
"aod_mix_52","aod_mix_07",0.939
"aod_mix_53","aod_mix_07",0.883
"aod_mix_54","aod_mix_07",0.934
"aod_mix_55","aod_mix_07",0.921
"aod_mix_56","aod_mix_07",0.865
"aod_mix_57","aod_mix_07",0.917
"aod_mix_58","aod_mix_07",0.898
"aod_mix_59","aod_mix_07",0.857
"aod_mix_60","aod_mix_07",0.887
"aod_mix_61","aod_mix_07",0.874
"aod_mix_62","aod_mix_07",0.856
"aod_mix_63","aod_mix_07",0.909
"aod_mix_64","aod_mix_07",0.891
"aod_mix_65","aod_mix_07",0.87
"aod_mix_66","aod_mix_07",0.851
"aod_mix_67","aod_mix_07",0.871
"aod_mix_68","aod_mix_07",0.846
"aod_mix_69","aod_mix_07",0.822
"aod_mix_70","aod_mix_07",0.81
"aod_mix_71","aod_mix_07",0.847
"aod_mix_72","aod_mix_07",0.839
"aod_mix_73","aod_mix_07",0.835
"aod_mix_74","aod_mix_07",0.83
"aod_mix_01","aod_mix_08",0.962
"aod_mix_02","aod_mix_08",0.964
"aod_mix_03","aod_mix_08",0.966
"aod_mix_04","aod_mix_08",0.97
"aod_mix_05","aod_mix_08",0.977
"aod_mix_06","aod_mix_08",0.984
"aod_mix_07","aod_mix_08",0.99
"aod_mix_08","aod_mix_08",1
"aod_mix_09","aod_mix_08",0.99
"aod_mix_10","aod_mix_08",0.973
"aod_mix_11","aod_mix_08",0.96
"aod_mix_12","aod_mix_08",0.961
"aod_mix_13","aod_mix_08",0.961
"aod_mix_14","aod_mix_08",0.961
"aod_mix_15","aod_mix_08",0.961
"aod_mix_16","aod_mix_08",0.962
"aod_mix_17","aod_mix_08",0.96
"aod_mix_18","aod_mix_08",0.955
"aod_mix_19","aod_mix_08",0.944
"aod_mix_20","aod_mix_08",0.924
"aod_mix_21","aod_mix_08",0.945
"aod_mix_22","aod_mix_08",0.944
"aod_mix_23","aod_mix_08",0.943
"aod_mix_24","aod_mix_08",0.942
"aod_mix_25","aod_mix_08",0.939
"aod_mix_26","aod_mix_08",0.934
"aod_mix_27","aod_mix_08",0.926
"aod_mix_28","aod_mix_08",0.915
"aod_mix_29","aod_mix_08",0.903
"aod_mix_30","aod_mix_08",0.887
"aod_mix_31","aod_mix_08",0.901
"aod_mix_32","aod_mix_08",0.901
"aod_mix_33","aod_mix_08",0.901
"aod_mix_34","aod_mix_08",0.904
"aod_mix_35","aod_mix_08",0.908
"aod_mix_36","aod_mix_08",0.912
"aod_mix_37","aod_mix_08",0.915
"aod_mix_38","aod_mix_08",0.915
"aod_mix_39","aod_mix_08",0.91
"aod_mix_40","aod_mix_08",0.898
"aod_mix_41","aod_mix_08",0.73
"aod_mix_42","aod_mix_08",0.722
"aod_mix_43","aod_mix_08",0.72
"aod_mix_44","aod_mix_08",0.727
"aod_mix_45","aod_mix_08",0.743
"aod_mix_46","aod_mix_08",0.768
"aod_mix_47","aod_mix_08",0.797
"aod_mix_48","aod_mix_08",0.826
"aod_mix_49","aod_mix_08",0.849
"aod_mix_50","aod_mix_08",0.861
"aod_mix_51","aod_mix_08",0.953
"aod_mix_52","aod_mix_08",0.952
"aod_mix_53","aod_mix_08",0.907
"aod_mix_54","aod_mix_08",0.944
"aod_mix_55","aod_mix_08",0.935
"aod_mix_56","aod_mix_08",0.884
"aod_mix_57","aod_mix_08",0.929
"aod_mix_58","aod_mix_08",0.912
"aod_mix_59","aod_mix_08",0.873
"aod_mix_60","aod_mix_08",0.898
"aod_mix_61","aod_mix_08",0.886
"aod_mix_62","aod_mix_08",0.868
"aod_mix_63","aod_mix_08",0.92
"aod_mix_64","aod_mix_08",0.902
"aod_mix_65","aod_mix_08",0.882
"aod_mix_66","aod_mix_08",0.861
"aod_mix_67","aod_mix_08",0.882
"aod_mix_68","aod_mix_08",0.855
"aod_mix_69","aod_mix_08",0.83
"aod_mix_70","aod_mix_08",0.816
"aod_mix_71","aod_mix_08",0.853
"aod_mix_72","aod_mix_08",0.843
"aod_mix_73","aod_mix_08",0.838
"aod_mix_74","aod_mix_08",0.831
"aod_mix_01","aod_mix_09",0.938
"aod_mix_02","aod_mix_09",0.94
"aod_mix_03","aod_mix_09",0.943
"aod_mix_04","aod_mix_09",0.951
"aod_mix_05","aod_mix_09",0.959
"aod_mix_06","aod_mix_09",0.969
"aod_mix_07","aod_mix_09",0.981
"aod_mix_08","aod_mix_09",0.99
"aod_mix_09","aod_mix_09",1
"aod_mix_10","aod_mix_09",0.988
"aod_mix_11","aod_mix_09",0.951
"aod_mix_12","aod_mix_09",0.952
"aod_mix_13","aod_mix_09",0.954
"aod_mix_14","aod_mix_09",0.958
"aod_mix_15","aod_mix_09",0.963
"aod_mix_16","aod_mix_09",0.967
"aod_mix_17","aod_mix_09",0.97
"aod_mix_18","aod_mix_09",0.97
"aod_mix_19","aod_mix_09",0.965
"aod_mix_20","aod_mix_09",0.951
"aod_mix_21","aod_mix_09",0.954
"aod_mix_22","aod_mix_09",0.955
"aod_mix_23","aod_mix_09",0.955
"aod_mix_24","aod_mix_09",0.956
"aod_mix_25","aod_mix_09",0.956
"aod_mix_26","aod_mix_09",0.954
"aod_mix_27","aod_mix_09",0.949
"aod_mix_28","aod_mix_09",0.941
"aod_mix_29","aod_mix_09",0.931
"aod_mix_30","aod_mix_09",0.918
"aod_mix_31","aod_mix_09",0.899
"aod_mix_32","aod_mix_09",0.901
"aod_mix_33","aod_mix_09",0.903
"aod_mix_34","aod_mix_09",0.908
"aod_mix_35","aod_mix_09",0.915
"aod_mix_36","aod_mix_09",0.924
"aod_mix_37","aod_mix_09",0.931
"aod_mix_38","aod_mix_09",0.936
"aod_mix_39","aod_mix_09",0.935
"aod_mix_40","aod_mix_09",0.927
"aod_mix_41","aod_mix_09",0.735
"aod_mix_42","aod_mix_09",0.729
"aod_mix_43","aod_mix_09",0.729
"aod_mix_44","aod_mix_09",0.738
"aod_mix_45","aod_mix_09",0.758
"aod_mix_46","aod_mix_09",0.785
"aod_mix_47","aod_mix_09",0.817
"aod_mix_48","aod_mix_09",0.85
"aod_mix_49","aod_mix_09",0.877
"aod_mix_50","aod_mix_09",0.891
"aod_mix_51","aod_mix_09",0.954
"aod_mix_52","aod_mix_09",0.962
"aod_mix_53","aod_mix_09",0.932
"aod_mix_54","aod_mix_09",0.949
"aod_mix_55","aod_mix_09",0.948
"aod_mix_56","aod_mix_09",0.905
"aod_mix_57","aod_mix_09",0.939
"aod_mix_58","aod_mix_09",0.925
