Latitude,Longitude,SiteName,SiteCode,EPACode,n,State.Code,County.Code,Site.Num
39.9791,-95.5682,Sac and Fox,SAFO1,200139000,2059,20,013,9000
40.052,-88.3733,Bondville,BOND1,170191001,2464,17,019,1001
40.0865,-107.3141,Ripple Creek,RICR1,NA,122,NA,NA,NA
40.25,-108.967,Dinosaur NM,DINO1,NA,315,NA,NA,NA
40.2783,-105.5457,Rocky Mountain NP,ROMO1,080699001,2596,08,069,9001
40.4449,-111.7081,Lone Peak Wilderness,LOPE1,490499000,189,49,049,9000
40.4654,-79.9607,Lawrenceville,PITT1,420030008,1626,42,003,0008
40.5383,-106.6766,Mount Zirkel Wilderness,MOZI1,080579000,2596,08,057,9000
40.5398,-121.5768,Lassen Volcanic NP,LAVO1,060893003,3839,06,089,3003
40.59286,-105.14312,Fort Collins,FOCO1,080699002,103,08,069,9002
40.6883,-91.9883,Lake Sugema,LASU1,191770006,313,19,177,0006
40.6932,-92.0059,Lake Sugema,LASU2,NA,2009,NA,NA,NA
40.7864,-122.8046,Trinity,TRIN1,061059000,2287,06,105,9000
40.8161,-73.9019,Is 52,NEYO1,360050110,713,36,005,0110
40.969,-95.045,Viking Lake,VILA1,191370002,2322,19,137,0002
41.3309,-70.7846,Martha's Vineyard,MAVI1,250070001,2253,25,007,0001
41.3662,-106.2418,Brooklyn Lake,BRLA1,560019000,486,56,001,9000
41.4269,-80.1453,M.K. Goddard,MKGO1,420859000,1187,42,085,9000
41.5608,-124.0839,Redwood NP,REDW1,060150002,2597,06,015,0002
41.7117,-121.5068,Lava Beds NM,LABE1,060930005,2571,06,093,0005
41.7514,-87.7135,Chicago,CHIC1,170310076,243,17,031,0076
41.7627,-102.4336,Crescent Lake,CRES1,310699000,1654,31,069,9000
41.8214,-73.2973,Mohawk Mt.,MOMO1,090050005,2401,09,005,0005
41.8888,-100.3387,Nebraska NF,NEBR1,311719000,2314,31,171,9000
41.8926,-115.4261,Jarbidge Wilderness,JARB1,320079000,3686,32,007,9000
41.9758,-70.0242,Cape Cod,CACO1,250010002,2455,25,001,0002
42.0912,-77.2099,Addison Pinnacle,ADPI1,361019000,1125,36,101,9000
42.1487,-96.4318,Omaha,OMAH1,311739000,631,31,173,9000
42.2286,-83.2085,Detroit,DETR1,261630001,1450,26,163,0001
42.2985,-72.3346,Quabbin Summit,QURE1,250154002,2978,25,015,4002
42.4009,-76.6534,Connecticut Hill,COHI1,361099000,637,36,109,9000
42.552,-124.0589,Kalmiopsis,KALM1,410330010,2577,41,033,0010
42.84648,-109.63973,Boulder Lake,BOLA1,NA,1433,NA,NA,NA
42.8619,-71.8786,Pack Monadnock Summit,PACK1,NA,1664,NA,NA,NA
42.8624,-71.3801,Londonderry,LOND1,NA,1268,NA,NA,NA
42.8958,-122.1361,Crater Lake NP,CRLA1,410358001,2597,41,035,8001
42.9561,-72.9098,Lye Brook Wilderness,LYEB1,500258001,1147,50,025,8001
42.9749,-109.7579,Bridger Wilderness,BRID1,560359000,2597,56,035,9000
43.1482,-73.1268,Lye Brook Wilderness,LYBR1,500038001,1541,50,003,8001
43.4605,-113.5551,Craters of the Moon NM,CRMO1,160230101,2596,16,023,0101
43.5576,-103.4838,Wind Cave,WICA1,460330132,3922,46,033,0132
43.7158,-96.1913,Blue Mounds,BLMO1,271339000,3033,27,133,9000
43.7435,-101.9412,Badlands NP,BADL1,460710001,2596,46,071,0001
43.8325,-70.0644,Casco Bay,CABA1,230059002,2462,23,005,9002
43.9373,-91.4052,Great River Bluffs,GRRI1,271699000,2314,27,169,9000
44.1074,-70.7292,Bridgton,BRMA1,230050103,1802,23,005,0103
44.1705,-114.9271,Sawtooth NF,SAWT1,160370002,2596,16,037,0002
44.23115,-79.78322,Egbert,EGBE1,NA,1918,NA,NA,NA
44.291,-122.0434,Three Sisters Wilderness,THSI1,410390070,2597,41,039,0070
44.3082,-71.2177,Great Gulf Wilderness,GRGU1,330074002,2552,33,007,4002
44.3335,-106.9565,Cloud Peak,CLPE1,560199000,1603,56,019,9000
44.3771,-68.261,Acadia NP,ACAD1,230090103,2596,23,009,0103
44.5284,-72.8688,Proctor Maple R. F.,PMRF1,500070007,4627,50,007,0007
44.5653,-110.4002,Yellowstone NP,YELL2,560399000,2597,56,039,9000
44.6634,-105.2874,Thunder Basin,THBA1,560050123,2141,56,005,0123
44.7448,-109.3816,North Absaroka,NOAB1,560299002,2580,56,029,9002
44.9334,-68.6457,Old Town,OLTO1,230194003,600,23,019,4003
44.94798,-68.64786,Penobscot,PENO1,NA,1874,NA,NA,NA
44.9702,-116.8438,Hells Canyon,HECA1,410630002,2526,41,063,0002
45.1259,-67.2661,Moosehorn NWR,MOOS1,230291004,2596,23,029,1004
45.1588,-114.026,Salmon NF,SALM1,160590007,83,16,059,0007
45.2249,-118.5129,Starkey,STAR1,410610010,2575,41,061,0010
45.2888,-121.7837,Mount Hood,MOHO1,410050010,2576,41,005,0010
45.56495,-88.80838,Forest County Potawatomi Community,FCPC1,550410007,553,55,041,0007
45.56926,-122.21029,Columbia Gorge #1,COGO1,530390010,1304,53,039,0010
45.6495,-106.5574,Northern Cheyenne,NOCH1,300870762,2314,30,087,0762
45.6644,-121.0008,Columbia River Gorge,CORI1,530390011,2597,53,039,0011
